gender,age,debt,married,bank_customer,education_level,ethnic,years_employed,prior_default,employed,credit_risk,drive,citizenship,income
b,33.75,2.75,u,g,i,bb,0,f,f,0,f,g,0
b,38.92,1.75,u,g,k,v,0.5,f,f,0,t,g,2
b,62.75,7,u,g,e,z,0,f,f,0,f,g,12
,32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,122
b,26.75,4.5,y,p,c,bb,2.5,f,f,0,f,g,1210
b,63.33,0.54,u,g,c,v,0.585,t,t,3,t,g,0
b,27.83,1.5,u,g,w,v,2.25,f,t,1,t,g,3
a,26.17,2,u,g,j,j,0,f,f,0,t,g,1
b,22.17,0.585,y,p,ff,ff,0,f,f,0,f,g,0
b,22.5,11.5,y,p,m,v,1.5,f,f,0,t,g,4000
b,30.75,1.585,u,g,d,v,0.585,f,f,0,t,s,0
b,36.67,2,u,g,i,v,0.25,f,f,0,t,g,0
a,16,0.165,u,g,aa,v,1,f,t,2,t,g,1
b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,0
a,19.5,0.165,u,g,q,v,0.04,f,f,0,t,g,0
b,32.42,3,u,g,d,v,0.165,f,f,0,t,g,0
a,36.75,4.71,u,g,ff,ff,0,f,f,0,f,g,0
a,30.25,5.5,u,g,k,v,5.5,f,f,0,t,s,0
b,23.08,2.5,u,g,ff,ff,0.085,f,f,0,t,g,4208
b,26.83,0.54,u,g,k,ff,0,f,f,0,f,g,0
b,16.92,0.335,y,p,k,v,0.29,f,f,0,f,s,0
b,24.42,2,u,g,e,dd,0.165,f,t,2,f,g,1300
b,42.83,1.25,u,g,m,v,13.875,f,t,1,t,g,112
a,22.75,6.165,u,g,aa,v,0.165,f,f,0,f,g,1000
b,39.42,1.71,y,p,m,v,0.165,f,f,0,f,s,0
a,23.58,11.5,y,p,k,h,3,f,f,0,t,g,16
b,21.42,0.75,y,p,r,n,0.75,f,f,0,t,g,2
b,33,2.5,y,p,w,v,7,f,f,0,t,g,0
b,26.33,13,u,g,e,dd,0,f,f,0,t,g,1110
a,45,4.585,u,g,k,h,1,f,f,0,t,s,0
b,26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,0
,28.17,0.585,u,g,aa,v,0.04,f,f,0,f,g,1004
a,20.83,0.5,y,p,e,dd,1,f,f,0,f,g,0
b,28.67,14.5,u,g,d,v,0.125,f,f,0,f,g,286
b,20.67,0.835,y,p,c,v,2,f,f,0,t,s,0
b,34.42,1.335,u,g,i,bb,0.125,f,f,0,t,g,4500
b,33.58,0.25,u,g,i,bb,4,f,f,0,t,s,0
b,43.17,5,u,g,i,bb,2.25,f,f,0,t,g,0
a,22.67,7,u,g,c,v,0.165,f,f,0,f,g,0
a,24.33,2.5,y,p,i,bb,4.5,f,f,0,f,g,456
a,56.83,4.25,y,p,ff,ff,5,f,f,0,t,g,4
b,22.08,11.46,u,g,k,v,1.585,f,f,0,t,g,1212
b,34,5.5,y,p,c,v,1.5,f,f,0,t,g,0
b,22.58,1.5,y,p,aa,v,0.54,f,f,0,t,g,67
b,21.17,0,u,g,c,v,0.5,f,f,0,t,s,0
b,26.67,14.585,u,g,i,bb,0,f,f,0,t,g,0
b,22.92,0.17,u,g,m,v,0.085,f,f,0,f,s,0
b,15.17,7,u,g,e,v,1,f,f,0,f,g,0
b,39.92,5,u,g,i,bb,0.21,f,f,0,f,g,0
b,27.42,12.5,u,g,aa,bb,0.25,f,f,0,t,g,0
b,24.75,0.54,u,g,m,v,1,f,f,0,t,g,1
b,41.17,1.25,y,p,w,v,0.25,f,f,0,f,g,195
a,33.08,1.625,u,g,d,v,0.54,f,f,0,t,g,0
b,29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,1
a,23.58,0.585,y,p,ff,ff,0.125,f,f,0,f,g,87
b,26.17,12.5,y,p,k,h,1.25,f,f,0,t,g,17
b,31,2.085,u,g,c,v,0.085,f,f,0,f,g,0
b,20.75,5.085,y,p,j,v,0.29,f,f,0,f,g,184
b,28.92,0.375,u,g,c,v,0.29,f,f,0,f,g,140
a,51.92,6.5,u,g,i,bb,3.085,f,f,0,t,g,0
a,22.67,0.335,u,g,q,v,0.75,f,f,0,f,s,0
b,34,5.085,y,p,i,bb,1.085,f,f,0,t,g,0
a,69.5,6,u,g,ff,ff,0,f,f,0,f,s,0
a,40.33,8.125,y,p,k,v,0.165,f,t,2,f,g,18
a,19.58,0.665,y,p,c,v,1,f,t,1,f,g,2
b,16,3.125,u,g,w,v,0.085,f,t,1,f,g,6
b,17.08,0.25,u,g,q,v,0.335,f,t,4,f,g,8
b,31.25,2.835,u,g,ff,ff,0,f,t,5,f,g,146
b,25.17,3,u,g,c,v,1.25,f,t,1,f,g,22
a,22.67,0.79,u,g,i,v,0.085,f,f,0,f,g,0
b,40.58,1.5,u,g,i,bb,0,f,f,0,f,s,0
b,22.25,0.46,u,g,k,v,0.125,f,f,0,t,g,55
a,22.25,1.25,y,p,ff,ff,3.25,f,f,0,f,g,0
b,22.5,0.125,y,p,k,v,0.125,f,f,0,f,g,70
b,23.58,1.79,u,g,c,v,0.54,f,f,0,t,g,1
b,38.42,0.705,u,g,c,v,0.375,f,t,2,f,g,500
a,26.58,2.54,y,p,ff,ff,0,f,f,0,t,g,60
b,35,2.5,u,g,i,v,1,f,f,0,t,g,0
b,20.42,1.085,u,g,q,v,1.5,f,f,0,f,g,7
b,29.42,1.25,u,g,w,v,1.75,f,f,0,f,g,0
b,26.17,0.835,u,g,cc,v,1.165,f,f,0,f,g,0
b,33.67,2.165,u,g,c,v,1.5,f,f,0,f,p,0
b,24.58,1.25,u,g,c,v,0.25,f,f,0,f,g,0
a,27.67,2.04,u,g,w,v,0.25,f,f,0,t,g,50
b,37.5,0.835,u,g,e,v,0.04,f,f,0,f,g,5
b,49.17,2.29,u,g,ff,ff,0.29,f,f,0,f,g,3
b,33.58,0.335,y,p,cc,v,0.085,f,f,0,f,g,0
b,51.83,3,y,p,ff,ff,1.5,f,f,0,f,g,4
b,22.92,3.165,y,p,c,v,0.165,f,f,0,f,g,1058
b,21.83,1.54,u,g,k,v,0.085,f,f,0,t,g,0
b,25.25,1,u,g,aa,v,0.5,f,f,0,f,g,0
b,58.58,2.71,u,g,c,v,2.415,f,f,0,t,g,0
b,19,0,y,p,ff,ff,0,f,t,4,f,g,1
b,19.58,0.585,u,g,ff,ff,0,f,t,3,f,g,769
a,53.33,0.165,u,g,ff,ff,0,f,f,0,t,s,27
a,27.17,1.25,u,g,ff,ff,0,f,t,1,f,g,300
b,25.92,0.875,u,g,k,v,0.375,f,t,2,t,g,3
b,23.08,0,u,g,k,v,1,f,t,11,f,s,0
b,39.58,5,u,g,ff,ff,0,f,t,2,f,g,1
b,30.58,2.71,y,p,m,v,0.125,f,f,0,t,s,0
b,17.25,3,u,g,k,v,0.04,f,f,0,t,g,40
a,17.67,0,y,p,j,ff,0,f,f,0,f,g,0
a,,11.25,u,g,ff,ff,0,f,f,0,f,g,5200
b,16.5,0.125,u,g,c,v,0.165,f,f,0,f,g,0
a,27.33,1.665,u,g,ff,ff,0,f,f,0,f,g,1
b,31.25,1.125,u,g,ff,ff,0,f,t,1,f,g,19
b,20,7,u,g,c,v,0.5,f,f,0,f,g,0
b,,3,y,p,i,bb,7,f,f,0,f,g,1
b,39.5,1.625,u,g,c,v,1.5,f,f,0,f,g,316
b,36.5,4.25,u,g,q,v,3.5,f,f,0,f,g,50
,29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,0
b,52.42,1.5,u,g,d,v,3.75,f,f,0,t,g,350
b,36.17,18.125,u,g,w,v,0.085,f,f,0,f,g,3552
b,34.58,0,,?,?,?,0,f,f,0,f,p,0
b,29.67,0.75,y,p,c,v,0.04,f,f,0,f,g,0
b,36.17,5.5,u,g,i,bb,5,f,f,0,f,g,687
b,25.67,0.29,y,p,c,v,1.5,f,f,0,t,g,0
a,24.5,2.415,y,p,c,v,0,f,f,0,f,g,0
b,24.08,0.875,u,g,m,v,0.085,f,t,4,f,g,1950
b,21.92,0.5,u,g,c,v,0.125,f,f,0,f,g,0
a,36.58,0.29,u,g,ff,ff,0,f,t,10,f,g,18
a,23,1.835,u,g,j,j,0,f,t,1,f,g,53
a,27.58,3,u,g,m,v,2.79,f,t,1,t,g,10
b,31.08,3.085,u,g,c,v,2.5,f,t,2,t,g,41
a,30.42,1.375,u,g,w,h,0.04,f,t,3,f,g,33
b,22.08,2.335,u,g,k,v,0.75,f,f,0,f,g,0
b,16.33,4.085,u,g,i,h,0.415,f,f,0,t,g,0
a,21.92,11.665,u,g,k,h,0.085,f,f,0,f,g,5
b,21.08,4.125,y,p,i,h,0.04,f,f,0,f,g,100
b,17.42,6.5,u,g,i,v,0.125,f,f,0,f,g,100
b,19.17,4,y,p,i,v,1,f,f,0,t,g,1000
b,20.67,0.415,u,g,c,v,0.125,f,f,0,f,g,44
b,26.75,2,u,g,d,v,0.75,f,f,0,t,g,0
b,23.58,0.835,u,g,i,h,0.085,f,f,0,t,g,5
b,39.17,2.5,y,p,i,h,10,f,f,0,t,s,0
b,22.75,11.5,u,g,i,v,0.415,f,f,0,f,g,0
,26.5,2.71,y,p,?,?,0.085,f,f,0,f,s,0
a,16.92,0.5,u,g,i,v,0.165,f,t,6,t,g,35
b,23.5,3.165,y,p,k,v,0.415,f,t,1,t,g,80
a,17.33,9.5,u,g,aa,v,1.75,f,t,10,t,g,10
b,23.75,0.415,y,p,c,v,0.04,f,t,2,f,g,6
b,34.67,1.08,u,g,m,v,1.165,f,f,0,f,s,0
b,74.83,19,y,p,ff,ff,0.04,f,t,2,f,g,351
b,28.17,0.125,y,p,k,v,0.085,f,f,0,f,g,2100
b,24.5,13.335,y,p,aa,v,0.04,f,f,0,t,g,475
b,18.83,3.54,y,p,ff,ff,0,f,f,0,t,g,1
,45.33,1,u,g,q,v,0.125,f,f,0,t,g,0
a,47.25,0.75,u,g,q,h,2.75,t,t,1,f,g,892
b,24.17,0.875,u,g,q,v,4.625,t,t,2,t,g,2000
b,39.25,9.5,u,g,m,v,6.5,t,t,14,f,g,4607
a,20.5,11.835,u,g,c,h,6,t,f,0,f,g,0
a,18.83,4.415,y,p,c,h,3,t,f,0,f,g,0
b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,2206
a,25,0.875,u,g,x,h,1.04,t,f,0,t,g,5860
b,20.17,9.25,u,g,c,v,1.665,t,t,3,t,g,28
b,25.75,0.5,u,g,c,v,1.46,t,t,5,t,g,0
b,20.42,7,u,g,c,v,1.625,t,t,3,f,g,1391
b,,4,u,g,x,v,5,t,t,3,t,g,2279
b,39,5,u,g,cc,v,3.5,t,t,10,t,g,0
a,64.08,0.165,u,g,ff,ff,0,t,t,1,f,g,100
b,28.25,5.125,u,g,x,v,4.75,t,t,2,f,g,7
a,28.75,3.75,u,g,c,v,1.085,t,t,1,t,g,0
b,31.33,19.5,u,g,c,v,7,t,t,16,f,g,5000
a,18.92,9,u,g,aa,v,0.75,t,t,2,f,g,591
a,24.75,3,u,g,q,h,1.835,t,t,19,f,g,500
a,30.67,12,u,g,c,v,2,t,t,1,f,g,19
b,21,4.79,y,p,w,v,2.25,t,t,1,t,g,300
b,13.75,4,y,p,w,v,1.75,t,t,2,t,g,1000
a,46,4,u,g,j,j,0,t,f,0,f,g,960
a,44.33,0,u,g,c,v,2.5,t,f,0,f,g,0
b,20.25,9.96,u,g,e,dd,0,t,f,0,f,g,0
b,22.67,2.54,y,p,c,h,2.585,t,f,0,f,g,0
b,,10.5,u,g,x,v,6.5,t,f,0,f,g,0
a,60.92,5,u,g,aa,v,4,t,t,4,f,g,99
b,16.08,0.75,u,g,c,v,1.75,t,t,5,t,g,690
a,28.17,0.375,u,g,q,v,0.585,t,t,4,f,g,0
b,39.17,1.71,u,g,x,v,0.125,t,t,5,t,g,0
,20.42,7.5,u,g,k,v,1.5,t,t,1,f,g,234
a,30,5.29,u,g,e,dd,2.25,t,t,5,t,g,500
b,22.83,3,u,g,m,v,1.29,t,t,1,f,g,800
a,22.5,8.5,u,g,q,v,1.75,t,t,10,f,g,990
a,28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,0
b,45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,0
b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,0
a,57.08,0.335,u,g,i,bb,1,t,f,0,t,g,2197
a,55.75,7.08,u,g,k,h,6.75,t,t,3,t,g,50
b,43.25,25.21,u,g,q,h,0.21,t,t,1,f,g,90
a,25.33,2.085,u,g,c,h,2.75,t,f,0,t,g,1
a,24.58,0.67,u,g,aa,h,1.75,t,f,0,f,g,0
b,43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,0
b,40.92,0.835,u,g,ff,ff,0,t,f,0,f,g,1
b,31.83,2.5,u,g,aa,v,7.5,t,f,0,t,g,0
a,33.92,1.585,y,p,ff,ff,0,t,f,0,f,g,0
a,24.92,1.25,u,g,ff,ff,0,t,f,0,f,g,0
b,35.25,3.165,u,g,x,h,3.75,t,f,0,t,g,0
b,34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,0
b,80.25,5.5,u,g,?,?,0.54,t,f,0,f,g,340
b,19.42,1.5,y,p,cc,v,2,t,f,0,t,g,20
b,42.75,3,u,g,i,bb,1,t,f,0,f,g,200
b,19.67,10,y,p,k,h,0.835,t,f,0,t,g,0
b,36.33,3.79,u,g,w,v,1.165,t,f,0,t,g,0
b,30.08,1.04,y,p,i,bb,0.5,t,t,10,t,g,28
b,44.25,11,y,p,d,v,1.5,t,f,0,f,s,0
b,23.58,0.46,y,p,w,v,2.625,t,t,6,t,g,347
b,23.92,1.5,u,g,d,h,1.875,t,t,6,f,g,327
b,33.17,1,u,g,x,v,0.75,t,t,7,t,g,4071
b,48.33,12,u,g,m,v,16,t,f,0,f,s,0
b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,109
b,51.33,10,u,g,i,bb,0,t,t,11,f,g,1249
b,34.75,15,u,g,r,n,5.375,t,t,9,t,g,134
b,38.58,3.335,u,g,w,v,4,t,t,14,f,g,1344
a,22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,321
b,41.92,0.42,u,g,c,h,0.21,t,t,6,f,g,948
b,29.58,4.5,u,g,w,v,7.5,t,t,2,t,g,0
a,32.17,1.46,u,g,w,v,1.085,t,t,16,f,g,2079
b,51.42,0.04,u,g,x,h,0.04,t,f,0,f,g,3000
a,22.83,2.29,u,g,q,h,2.29,t,t,7,t,g,2384
a,25,12.33,u,g,cc,h,3.5,t,t,6,f,g,458
b,26.75,1.125,u,g,x,h,1.25,t,f,0,f,g,5298
b,23.33,1.5,u,g,c,h,1.415,t,f,0,f,g,200
b,24.42,12.335,u,g,q,h,1.585,t,f,0,t,g,0
b,42.17,5.04,u,g,q,h,12.75,t,f,0,t,g,0
a,20.83,3,u,g,aa,v,0.04,t,f,0,f,g,0
b,23.08,11.5,u,g,w,h,2.125,t,t,11,t,g,284
a,25.17,2.875,u,g,x,h,0.875,t,f,0,f,g,0
b,43.08,0.375,y,p,c,v,0.375,t,t,8,t,g,162
a,35.75,0.915,u,g,aa,v,0.75,t,t,4,f,g,1583
b,59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,58
b,21,3,y,p,d,v,1.085,t,t,8,t,g,1
b,21.92,0.54,y,p,x,v,0.04,t,t,1,t,g,59
a,65.17,14,u,g,ff,ff,0,t,t,11,t,g,1400
a,20.33,10,u,g,c,h,1,t,t,4,f,g,1465
b,32.25,0.165,y,p,c,h,3.25,t,t,1,t,g,8000
b,30.17,0.5,u,g,c,v,1.75,t,t,11,f,g,540
b,25.17,6,u,g,c,v,1,t,t,3,f,g,0
b,39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,4700
b,39.08,6,u,g,m,v,1.29,t,t,5,t,g,1097
b,31.67,0.83,u,g,x,v,1.335,t,t,8,t,g,3290
b,41,0.04,u,g,e,v,0.04,f,t,1,f,s,0
b,48.5,4.25,u,g,m,v,0.125,t,f,0,t,g,0
b,32.67,9,y,p,w,h,5.25,t,f,0,t,g,0
a,28.08,15,y,p,e,z,0,t,f,0,f,g,13212
b,73.42,17.75,u,g,ff,ff,0,t,f,0,t,g,0
b,64.08,20,u,g,x,h,17.5,t,t,9,t,g,1000
b,51.58,15,u,g,c,v,8.5,t,t,9,f,g,0
b,26.67,1.75,y,p,c,v,1,t,t,5,t,g,5777
b,25.33,0.58,u,g,c,v,0.29,t,t,7,t,g,5124
b,30.17,6.5,u,g,cc,v,3.125,t,t,8,f,g,1200
b,27,0.75,u,g,c,h,4.25,t,t,3,t,g,150
b,23.17,0,,?,?,?,0,f,f,0,f,p,0
b,34.17,5.25,u,g,w,v,0.085,f,f,0,t,g,6
b,38.67,0.21,u,g,k,v,0.085,t,f,0,t,g,0
b,25.75,0.75,u,g,c,bb,0.25,t,f,0,f,g,23
a,46.08,3,u,g,c,v,2.375,t,t,8,t,g,4159
a,21.5,6,u,g,aa,v,2.5,t,t,3,f,g,918
,20.08,0.125,u,g,q,v,1,f,t,1,f,g,768
b,20.5,2.415,u,g,c,v,2,t,t,11,t,g,3000
a,29.5,0.46,u,g,k,v,0.54,t,t,4,f,g,500
,42.25,1.75,y,p,?,?,0,f,f,0,t,g,1
b,29.83,1.25,y,p,k,v,0.25,f,f,0,f,g,0
b,20.08,0.25,u,g,q,v,0.125,f,f,0,f,g,0
b,23.42,0.585,u,g,c,h,0.085,t,f,0,f,g,0
a,29.58,1.75,y,p,k,v,1.25,f,f,0,t,g,0
b,16.17,0.04,u,g,c,v,0.04,f,f,0,f,g,0
b,32.33,3.5,u,g,k,v,0.5,f,f,0,t,g,0
b,,0.04,y,p,d,v,4.25,f,f,0,t,g,0
b,47.83,4.165,u,g,x,bb,0.085,f,f,0,t,g,0
b,20,1.25,y,p,k,v,0.125,f,f,0,f,g,4
b,27.58,3.25,y,p,q,h,5.085,f,t,2,t,g,1
b,22,0.79,u,g,w,v,0.29,f,t,1,f,g,283
b,19.33,10.915,u,g,c,bb,0.585,f,t,2,t,g,7
a,38.33,4.415,u,g,c,v,0.125,f,f,0,f,g,0
b,29.42,1.25,u,g,c,h,0.25,f,t,2,t,g,108
b,22.67,0.75,u,g,i,v,1.585,f,t,1,t,g,9
b,32.25,14,y,p,ff,ff,0,f,t,2,f,g,1
b,29.58,4.75,u,g,m,v,2,f,t,1,t,g,68
b,18.42,10.415,y,p,aa,v,0.125,t,f,0,f,g,375
b,22.17,2.25,u,g,i,v,0.125,f,f,0,f,g,10
b,22.67,0.165,u,g,c,j,2.25,f,f,0,t,s,0
a,25.58,0,,?,?,?,0,f,f,0,f,p,0
b,18.83,0,u,g,q,v,0.665,f,f,0,f,g,1
b,21.58,0.79,y,p,cc,v,0.665,f,f,0,f,g,0
b,23.75,12,u,g,c,v,2.085,f,f,0,f,s,0
b,22,7.835,y,p,i,bb,0.165,f,f,0,t,g,0
b,36.08,2.54,u,g,ff,ff,0,f,f,0,f,g,1000
b,29.25,13,u,g,d,h,0.5,f,f,0,f,g,0
a,19.58,0.665,u,g,w,v,1.665,f,f,0,f,g,5
a,22.92,1.25,u,g,q,v,0.25,f,f,0,t,g,809
a,27.25,0.29,u,g,m,h,0.125,f,t,1,t,g,108
a,38.75,1.5,u,g,ff,ff,0,f,f,0,f,g,0
b,32.42,2.165,y,p,k,ff,0,f,f,0,f,g,0
a,23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,4
b,18.17,2.46,u,g,c,n,0.96,f,t,2,t,g,587
b,40.92,0.5,y,p,m,v,0.5,f,f,0,t,g,0
b,19.5,9.585,u,g,aa,v,0.79,f,f,0,f,g,350
b,28.58,3.625,u,g,aa,v,0.25,f,f,0,t,g,0
b,35.58,0.75,u,g,k,v,1.5,f,f,0,t,g,0
b,34.17,2.75,u,g,i,bb,2.5,f,f,0,t,g,200
,33.17,2.25,y,p,cc,v,3.5,f,f,0,t,g,141
b,31.58,0.75,y,p,aa,v,3.5,f,f,0,t,g,0
a,52.5,7,u,g,aa,h,3,f,f,0,f,g,0
b,36.17,0.42,y,p,w,v,0.29,f,f,0,t,g,2
b,37.33,2.665,u,g,cc,v,0.165,f,f,0,t,g,501
a,20.83,8.5,u,g,c,v,0.165,f,f,0,f,g,351
b,24.08,9,u,g,aa,v,0.25,f,f,0,t,g,0
b,25.58,0.335,u,g,k,h,3.5,f,f,0,t,g,0
a,35.17,3.75,u,g,ff,ff,0,f,t,6,f,g,200
b,48.08,3.75,u,g,i,bb,1,f,f,0,f,g,2
a,15.83,7.625,u,g,q,v,0.125,f,t,1,t,g,160
a,22.5,0.415,u,g,i,v,0.335,f,f,0,t,s,0
b,21.5,11.5,u,g,i,v,0.5,t,f,0,t,g,68
a,23.58,0.83,u,g,q,v,0.415,f,t,1,t,g,11
a,21.08,5,y,p,ff,ff,0,f,f,0,f,g,0
b,25.67,3.25,u,g,c,h,2.29,f,t,1,t,g,21
a,38.92,1.665,u,g,aa,v,0.25,f,f,0,f,g,390
a,15.75,0.375,u,g,c,v,1,f,f,0,f,g,18
a,28.58,3.75,u,g,c,v,0.25,f,t,1,t,g,154
b,22.25,9,u,g,aa,v,0.085,f,f,0,f,g,0
b,29.83,3.5,u,g,c,v,0.165,f,f,0,f,g,0
a,23.5,1.5,u,g,w,v,0.875,f,f,0,t,g,0
b,32.08,4,y,p,cc,v,1.5,f,f,0,t,g,0
b,31.08,1.5,y,p,w,v,0.04,f,f,0,f,s,0
b,31.83,0.04,y,p,m,v,0.04,f,f,0,f,g,0
a,21.75,11.75,u,g,c,v,0.25,f,f,0,t,g,0
a,17.92,0.54,u,g,c,v,1.75,f,t,1,t,g,5
b,30.33,0.5,u,g,d,h,0.085,f,f,0,t,s,0
b,51.83,2.04,y,p,ff,ff,1.5,f,f,0,f,g,1
b,47.17,5.835,u,g,w,v,5.5,f,f,0,f,g,150
b,25.83,12.835,u,g,cc,v,0.5,f,f,0,f,g,2
a,50.25,0.835,u,g,aa,v,0.5,f,f,0,t,g,117
,29.5,2,y,p,e,h,2,f,f,0,f,g,17
a,37.33,2.5,u,g,i,h,0.21,f,f,0,f,g,246
a,41.58,1.04,u,g,aa,v,0.665,f,f,0,f,g,237
a,30.58,10.665,u,g,q,h,0.085,f,t,12,t,g,3
b,19.42,7.25,u,g,m,v,0.04,f,t,1,f,g,1
a,17.92,10.21,u,g,ff,ff,0,f,f,0,f,g,50
a,20.08,1.25,u,g,c,v,0,f,f,0,f,g,0
b,19.5,0.29,u,g,k,v,0.29,f,f,0,f,g,364
b,27.83,1,y,p,d,h,3,f,f,0,f,g,537
b,17.08,3.29,u,g,i,v,0.335,f,f,0,t,g,2
b,36.42,0.75,y,p,d,v,0.585,f,f,0,f,g,3
b,40.58,3.29,u,g,m,v,3.5,f,f,0,t,s,0
b,21.08,10.085,y,p,e,h,1.25,f,f,0,f,g,0
a,22.67,0.75,u,g,c,v,2,f,t,2,t,g,394
a,25.25,13.5,y,p,ff,ff,2,f,t,1,t,g,1
b,17.92,0.205,u,g,aa,v,0.04,f,f,0,f,g,750
b,35,3.375,u,g,c,h,8.29,f,f,0,t,g,0
