id,sex,race
2852,F,CHINESE
2670,F,MALAY
3064,F,CHINESE
2862,F,CHINESE
2861,F,CHINESE
2857,M,CHINESE
2828,F,CHINESE
2858,F,CHINESE
2888,M,CHINESE
3159,M,INDIAN
3162,F,INDIAN
2954,F,CHINESE
2957,F,CHINESE
2952,M,CHINESE
2939,F,CHINESE
2945,F,CHINESE
2940,F,CHINESE
2953,M,CHINESE
2955,F,INDIAN
2946,M,CHINESE
2958,F,CHINESE
2968,F,CHINESE
2964,M,CHINESE
2959,M,CHINESE
2965,M,CHINESE
2947,F,CHINESE
2941,F,CHINESE
2960,F,CHINESE
2969,M,CHINESE
2974,F,CHINESE
2971,F,CHINESE
2942,F,CHINESE
2970,F,CHINESE
2961,F,CHINESE
2966,M,CHINESE
2948,M,CHINESE
2972,M,CHINESE
2962,M,CHINESE
2980,M,CHINESE
2967,F,INDIAN
2975,F,CHINESE
2987,F,CHINESE
2973,F,CHINESE
2976,F,CHINESE
2963,F,CHINESE
2981,F,CHINESE
2985,M,CHINESE
2992,M,CHINESE
2988,F,MALAY
2982,F,CHINESE
2977,F,CHINESE
2978,F,CHINESE
2983,M,CHINESE
2989,M,CHINESE
2990,M,MALAY
2979,F,MALAY
2984,F,CHINESE
2993,M,CHINESE
3009,F,INDIAN
3004,F,MALAY
2986,M,MALAY
3010,M,MALAY
2996,F,CHINESE
3005,F,CHINESE
2994,M,INDIAN
2991,F,INDIAN
3011,F,INDIAN
3006,M,MALAY
3012,F,MALAY
3013,M,MALAY
2998,F,MALAY
3001,M,MALAY
3015,M,MALAY
2997,F,MALAY
2995,F,MALAY
3014,F,MALAY
3007,F,CHINESE
2999,F,MALAY
3002,F,MALAY
3024,M,MALAY
3023,M,MALAY
3016,F,INDIAN
3017,M,MALAY
2877,F,CHINESE
2878,M,CHINESE
2879,F,INDIAN
3018,F,MALAY
3000,F,MALAY
3025,F,INDIAN
3020,M,MALAY
3008,F,CHINESE
3003,F,CHINESE
3019,F,INDIAN
3021,M,INDIAN
3026,M,MALAY
3041,F,INDIAN
3042,F,INDIAN
3033,F,CHINESE
3028,F,MALAY
3034,M,MALAY
3027,F,MALAY
3043,M,MALAY
3045,M,MALAY
3035,F,MALAY
3044,F,INDIAN
3029,M,INDIAN
3022,F,CHINESE
3050,F,CHINESE
3030,M,INDIAN
3081,M,CHINESE
3031,F,MALAY
3052,F,MALAY
3051,F,INDIAN
3062,M,INDIAN
3056,F,INDIAN
3057,F,MALAY
3046,F,MALAY
3048,M,MALAY
3054,F,CHINESE
3059,F,CHINESE
3058,F,CHINESE
3047,F,INDIAN
3053,F,INDIAN
3063,M,INDIAN
3032,M,MALAY
3065,M,CHINESE
3049,F,MALAY
3060,M,MALAY
3055,F,INDIAN
3070,M,INDIAN
3076,F,MALAY
3068,M,INDIAN
3061,M,MALAY
3066,M,MALAY
3071,M,INDIAN
3083,F,MALAY
3069,M,MALAY
3077,M,MALAY
3067,M,MALAY
3082,F,INDIAN
3093,M,CHINESE
3072,F,INDIAN
3078,F,INDIAN
3088,M,MALAY
3084,F,MALAY
3094,F,MALAY
3086,M,MALAY
3080,M,MALAY
3074,M,MALAY
3079,M,MALAY
3089,M,CHINESE
3085,M,CHINESE
3073,M,CHINESE
3099,F,INDIAN
3087,F,CHINESE
3075,M,CHINESE
3090,M,CHINESE
3095,M,INDIAN
3104,F,MALAY
3091,M,INDIAN
3100,M,CHINESE
3105,M,INDIAN
3109,M,INDIAN
3096,F,INDIAN
3092,M,CHINESE
3101,M,CHINESE
3106,M,CHINESE
3114,M,INDIAN
3097,M,MALAY
3103,M,CHINESE
3107,F,CHINESE
3110,M,INDIAN
3124,M,INDIAN
3108,M,INDIAN
3111,F,INDIAN
3115,M,INDIAN
3098,M,INDIAN
3130,F,INDIAN
3116,M,INDIAN
3125,M,INDIAN
3112,F,INDIAN
3136,F,INDIAN
3117,M,CHINESE
3113,M,CHINESE
3126,M,INDIAN
3118,M,CHINESE
3155,F,INDIAN
3127,M,INDIAN
3144,M,CHINESE
3131,F,INDIAN
3128,M,INDIAN
3141,M,INDIAN
3129,F,INDIAN
3132,M,INDIAN
3145,M,CHINESE
3137,F,INDIAN
3138,F,INDIAN
3133,M,INDIAN
3146,M,INDIAN
3150,F,INDIAN
3142,M,INDIAN
3143,M,INDIAN
3139,M,CHINESE
3147,M,INDIAN
3134,M,INDIAN
3151,F,INDIAN
3153,M,CHINESE
3140,M,INDIAN
3154,M,INDIAN
3148,F,INDIAN
3157,M,CHINESE
3158,M,CHINESE
3149,F,OTHERS
3135,F,INDIAN
3152,M,CHINESE
2831,F,CHINESE
3156,M,INDIAN
3161,M,OTHERS
3163,F,INDIAN
2603,M,MALAY
2605,M,MALAY
2607,M,MALAY
2614,M,MALAY
2615,M,MALAY
2616,M,MALAY
3191,F,INDIAN
2613,F,INDIAN
2612,M,CHINESE
2618,M,MALAY
2622,F,CHINESE
2621,F,CHINESE
2623,F,CHINESE
2630,M,CHINESE
2636,M,CHINESE
2643,F,CHINESE
2649,M,CHINESE
2242,M,CHINESE
2263,F,CHINESE
2269,F,CHINESE
2100,F,CHINESE
2101,M,CHINESE
2099,M,CHINESE
2129,F,CHINESE
2079,F,CHINESE
2077,F,CHINESE
2103,F,CHINESE
2139,F,CHINESE
2203,F,CHINESE
2108,F,INDIAN
2107,M,MALAY
2134,F,CHINESE
2141,F,CHINESE
2193,F,CHINESE
2207,M,INDIAN
2205,F,CHINESE
2102,M,CHINESE
2075,M,INDIAN
2357,M,CHINESE
2036,F,CHINESE
2300,F,CHINESE
2182,F,CHINESE
2319,F,CHINESE
2315,M,CHINESE
2246,F,MALAY
2247,F,MALAY
2249,M,CHINESE
2248,F,MALAY
2244,M,MALAY
2243,M,MALAY
2245,M,MALAY
2295,M,CHINESE
2356,F,CHINESE
2360,M,MALAY
2349,M,CHINESE
2353,M,CHINESE
2352,M,CHINESE
2332,F,CHINESE
2309,M,CHINESE
2318,M,INDIAN
2339,M,INDIAN
2329,F,CHINESE
2330,F,CHINESE
2301,F,CHINESE
2294,F,CHINESE
2317,F,INDIAN
2302,F,CHINESE
2299,M,CHINESE
2316,M,CHINESE
2325,F,OTHERS
2334,F,INDIAN
2326,M,CHINESE
2327,M,CHINESE
2328,M,CHINESE
2340,F,CHINESE
2361,M,MALAY
2358,M,CHINESE
2359,F,CHINESE
2369,F,CHINESE
2366,F,CHINESE
2400,M,INDIAN
2407,M,INDIAN
2419,M,MALAY
2424,M,MALAY
2425,M,MALAY
2422,M,INDIAN
2427,M,INDIAN
2428,M,MALAY
2430,M,INDIAN
2435,M,MALAY
2443,M,INDIAN
2442,M,MALAY
2441,M,MALAY
2468,M,INDIAN
2469,M,MALAY
2476,M,MALAY
2485,M,INDIAN
2487,M,INDIAN
2512,M,INDIAN
2513,M,INDIAN
2272,M,MALAY
2177,M,CHINESE
2232,M,MALAY
2114,F,CHINESE
2268,M,CHINESE
2221,M,CHINESE
2104,M,CHINESE
2210,F,INDIAN
2293,F,CHINESE
2304,F,CHINESE
2296,F,CHINESE
2306,F,CHINESE
2297,F,CHINESE
2307,F,CHINESE
2308,M,CHINESE
2298,M,CHINESE
2305,F,CHINESE
2310,M,CHINESE
2321,M,CHINESE
2324,M,CHINESE
2323,F,CHINESE
2322,F,CHINESE
2331,F,CHINESE
2336,F,CHINESE
2337,F,CHINESE
2338,F,CHINESE
2342,M,CHINESE
2341,F,CHINESE
2333,F,CHINESE
2344,F,CHINESE
2335,F,CHINESE
2346,F,CHINESE
2345,F,CHINESE
2354,M,CHINESE
2350,M,CHINESE
2351,F,CHINESE
2355,M,CHINESE
2343,M,CHINESE
2362,F,CHINESE
2363,F,CHINESE
2364,M,CHINESE
2365,M,CHINESE
2367,F,CHINESE
2370,F,CHINESE
2371,M,CHINESE
2372,F,MALAY
2373,F,MALAY
2374,F,CHINESE
2375,F,CHINESE
2376,F,CHINESE
2377,M,CHINESE
2384,F,CHINESE
2385,M,CHINESE
2386,F,CHINESE
2387,M,CHINESE
2388,F,CHINESE
2378,F,CHINESE
2379,F,CHINESE
2383,M,CHINESE
2382,F,CHINESE
2381,F,CHINESE
2380,M,CHINESE
2390,F,CHINESE
2391,M,CHINESE
2392,F,CHINESE
2393,F,CHINESE
2395,M,CHINESE
2396,M,CHINESE
2397,M,CHINESE
2398,M,CHINESE
2401,M,CHINESE
2402,M,INDIAN
2403,M,MALAY
2404,M,MALAY
2405,M,MALAY
2406,M,MALAY
2408,M,MALAY
2409,M,MALAY
2399,M,MALAY
2411,M,MALAY
2412,M,MALAY
2413,M,MALAY
2414,M,MALAY
2415,M,INDIAN
2416,M,MALAY
2417,M,MALAY
2420,M,INDIAN
2418,M,INDIAN
2421,M,MALAY
2423,M,MALAY
2426,M,MALAY
2432,M,MALAY
2434,M,MALAY
2436,M,MALAY
2437,M,MALAY
2438,M,MALAY
2439,M,MALAY
2440,M,INDIAN
2444,M,MALAY
2447,M,INDIAN
2448,M,MALAY
2453,M,MALAY
2455,M,MALAY
2454,M,MALAY
2456,M,MALAY
2458,M,MALAY
2459,M,INDIAN
2460,M,INDIAN
2461,M,INDIAN
2462,M,INDIAN
2463,M,INDIAN
2464,M,MALAY
2465,M,MALAY
2466,M,INDIAN
2471,F,INDIAN
2470,F,INDIAN
2467,M,INDIAN
2473,M,INDIAN
2474,M,INDIAN
2477,M,MALAY
2478,M,INDIAN
2479,F,INDIAN
2480,F,INDIAN
2481,M,INDIAN
2472,F,INDIAN
2484,M,INDIAN
2483,M,MALAY
2488,M,INDIAN
2489,M,INDIAN
2491,M,INDIAN
2492,M,INDIAN
2493,M,INDIAN
2494,M,INDIAN
2495,M,INDIAN
2496,M,CHINESE
2497,M,INDIAN
2498,M,MALAY
2499,M,INDIAN
2500,M,CHINESE
2502,M,CHINESE
2501,M,CHINESE
2503,M,CHINESE
2504,M,INDIAN
2505,M,INDIAN
2506,M,INDIAN
2507,M,INDIAN
2508,M,INDIAN
2509,M,INDIAN
2510,M,CHINESE
2511,M,CHINESE
2514,M,INDIAN
2516,M,INDIAN
2517,M,INDIAN
2518,M,CHINESE
2519,M,CHINESE
2520,M,CHINESE
2521,M,CHINESE
2522,M,CHINESE
2523,M,OTHERS
2524,M,CHINESE
2525,M,CHINESE
2526,M,CHINESE
2527,M,INDIAN
2530,M,CHINESE
2528,M,CHINESE
2531,M,CHINESE
2529,M,CHINESE
2532,M,MALAY
2533,M,MALAY
2534,M,MALAY
2535,M,CHINESE
2536,M,CHINESE
2537,M,CHINESE
2538,M,CHINESE
2539,M,CHINESE
2540,M,CHINESE
2541,M,CHINESE
2542,M,CHINESE
2543,M,CHINESE
2544,M,CHINESE
2545,M,CHINESE
2546,M,CHINESE
2547,M,CHINESE
2548,F,INDIAN
2389,M,INDIAN
2394,F,CHINESE
2486,M,INDIAN
2283,F,MALAY
2235,M,CHINESE
2482,F,INDIAN
2064,M,CHINESE
2078,M,CHINESE
2158,M,CHINESE
2190,F,CHINESE
2234,F,MALAY
2450,M,CHINESE
2452,M,CHINESE
2005,F,CHINESE
2061,M,CHINESE
2011,F,CHINESE
2016,F,CHINESE
2220,F,CHINESE
2122,F,CHINESE
2118,F,CHINESE
2119,M,CHINESE
2024,F,INDIAN
2022,M,CHINESE
2219,F,CHINESE
2001,F,MALAY
2002,F,INDIAN
2003,M,MALAY
2716,M,CHINESE
2723,F,CHINESE
2675,M,MALAY
2674,M,MALAY
2712,M,CHINESE
2720,M,CHINESE
2684,F,INDIAN
2711,M,MALAY
2699,F,CHINESE
2707,M,CHINESE
2722,F,CHINESE
2721,F,CHINESE
2732,F,CHINESE
2685,M,CHINESE
2738,F,CHINESE
2676,M,CHINESE
2733,F,CHINESE
2739,F,CHINESE
2724,F,CHINESE
2754,F,INDIAN
2744,F,CHINESE
2734,F,MALAY
2753,F,MALAY
2725,M,CHINESE
2740,M,CHINESE
2736,M,CHINESE
2749,F,CHINESE
2776,M,CHINESE
2750,F,CHINESE
2767,F,CHINESE
2772,F,CHINESE
2766,F,CHINESE
2745,F,CHINESE
2746,F,CHINESE
2735,M,CHINESE
2742,M,INDIAN
2741,M,CHINESE
2782,F,CHINESE
2773,F,CHINESE
2774,F,CHINESE
2726,F,CHINESE
2768,M,MALAY
2770,F,MALAY
2743,F,CHINESE
2788,F,CHINESE
2780,M,CHINESE
2784,M,INDIAN
2775,F,CHINESE
2727,F,MALAY
2728,F,INDIAN
2789,F,CHINESE
2783,F,CHINESE
2792,F,INDIAN
2769,F,MALAY
2790,F,CHINESE
2798,M,CHINESE
2799,M,INDIAN
2779,F,CHINESE
2778,M,CHINESE
2785,F,INDIAN
2794,F,CHINESE
2729,F,MALAY
2791,M,CHINESE
2793,F,INDIAN
2786,F,MALAY
2829,M,MALAY
2787,M,CHINESE
2781,M,MALAY
2795,M,MALAY
2800,F,MALAY
2835,F,CHINESE
2801,F,CHINESE
2830,F,CHINESE
2802,F,MALAY
2796,F,MALAY
2839,F,CHINESE
2832,F,INDIAN
2797,F,CHINESE
2836,M,MALAY
2837,F,INDIAN
2803,F,CHINESE
2755,M,CHINESE
2834,F,CHINESE
2846,F,CHINESE
2823,F,CHINESE
2840,F,CHINESE
2833,M,MALAY
2845,M,CHINESE
2841,F,CHINESE
2854,M,CHINESE
2824,F,CHINESE
2847,F,CHINESE
2838,F,CHINESE
2842,F,CHINESE
2825,M,CHINESE
2853,M,CHINESE
2843,M,CHINESE
2826,F,CHINESE
2850,F,CHINESE
2859,F,CHINESE
2855,M,CHINESE
2849,F,CHINESE
2848,F,CHINESE
2827,F,CHINESE
2851,M,CHINESE
2856,M,CHINESE
2860,F,CHINESE
2804,F,CHINESE
2805,F,CHINESE
2869,F,CHINESE
2866,F,CHINESE
2806,F,CHINESE
2870,F,CHINESE
2811,M,CHINESE
2864,F,CHINESE
2810,M,CHINESE
2865,F,CHINESE
2863,F,CHINESE
2883,F,CHINESE
2812,M,CHINESE
2871,M,CHINESE
2867,F,CHINESE
2807,F,CHINESE
2885,F,CHINESE
2809,M,CHINESE
2894,F,CHINESE
2890,F,CHINESE
2808,F,CHINESE
2872,M,CHINESE
2884,M,CHINESE
2868,F,CHINESE
2901,F,CHINESE
2891,M,CHINESE
2895,M,CHINESE
2886,F,CHINESE
2896,F,CHINESE
2887,M,CHINESE
2913,M,CHINESE
2893,M,CHINESE
2905,F,CHINESE
2892,F,CHINESE
2904,M,CHINESE
2898,M,CHINESE
2899,M,CHINESE
2914,F,CHINESE
2909,F,CHINESE
2915,M,INDIAN
2910,M,CHINESE
2924,M,INDIAN
2906,M,MALAY
2918,F,CHINESE
2925,F,CHINESE
2919,M,CHINESE
2911,M,CHINESE
2916,F,CHINESE
2908,M,CHINESE
2912,F,CHINESE
2917,F,CHINESE
2926,M,CHINESE
2920,M,CHINESE
2907,M,CHINESE
2921,M,CHINESE
2930,F,CHINESE
2937,F,CHINESE
2943,F,CHINESE
2931,F,CHINESE
2938,F,CHINESE
2928,F,CHINESE
2927,F,CHINESE
2922,F,CHINESE
2932,F,CHINESE
2933,F,CHINESE
2929,M,MALAY
2923,M,CHINESE
2934,F,INDIAN
2936,F,CHINESE
2944,M,CHINESE
2935,F,CHINESE
2949,F,CHINESE
2956,M,CHINESE
2620,M,CHINESE
3500,F,CHINESE
2664,M,OTHERS
2758,M,CHINESE
2759,M,CHINESE
2757,M,CHINESE
2761,F,CHINESE
2760,M,CHINESE
2762,M,CHINESE
2813,M,CHINESE
2815,F,MALAY
2814,F,MALAY
2817,M,CHINESE
2818,M,INDIAN
2819,M,OTHERS
2820,F,OTHERS
2821,F,INDIAN
2873,F,MALAY
2874,F,INDIAN
2876,F,OTHERS
2756,F,CHINESE
2844,F,CHINESE
2638,M,INDIAN
2601,M,CHINESE
2602,F,CHINESE
2604,F,CHINESE
2606,F,CHINESE
2608,F,CHINESE
2611,F,CHINESE
2624,F,CHINESE
2625,F,CHINESE
2626,F,CHINESE
2627,M,CHINESE
2628,F,CHINESE
2629,M,CHINESE
2631,F,CHINESE
2632,F,CHINESE
2619,F,CHINESE
2634,F,CHINESE
2695,M,CHINESE
2637,F,CHINESE
2641,M,MALAY
2656,F,CHINESE
2658,F,MALAY
2659,F,CHINESE
2660,M,CHINESE
2665,F,CHINESE
2661,F,CHINESE
2662,M,CHINESE
2666,F,CHINESE
2667,M,MALAY
2669,M,CHINESE
2671,F,MALAY
2672,F,CHINESE
2673,F,CHINESE
2681,F,CHINESE
2683,F,MALAY
2688,F,CHINESE
2687,F,CHINESE
2691,M,CHINESE
2694,F,CHINESE
2655,M,CHINESE
2692,M,CHINESE
2693,F,CHINESE
2639,M,CHINESE
2696,M,CHINESE
2701,M,CHINESE
2697,M,MALAY
2698,F,MALAY
2702,M,CHINESE
2703,M,MALAY
2704,F,MALAY
2705,M,CHINESE
2706,M,MALAY
2690,M,CHINESE
2708,F,MALAY
2709,F,CHINESE
2710,F,MALAY
2713,F,MALAY
2714,F,CHINESE
2715,F,CHINESE
2663,M,CHINESE
2635,M,CHINESE
2644,M,INDIAN
2679,F,INDIAN
2640,M,MALAY
2642,M,INDIAN
2645,M,CHINESE
2654,F,MALAY
2668,F,MALAY
2680,F,INDIAN
2609,F,CHINESE
2610,F,CHINESE
2647,M,INDIAN
2155,M,CHINESE
2062,M,CHINESE
2123,F,CHINESE
2020,M,CHINESE
2113,F,CHINESE
2017,F,CHINESE
2023,M,CHINESE
2266,M,CHINESE
2273,M,CHINESE
2311,F,CHINESE
2025,M,CHINESE
2066,M,CHINESE
2281,F,CHINESE
2270,F,CHINESE
2124,F,CHINESE
2069,F,CHINESE
2028,F,CHINESE
2121,F,CHINESE
2169,F,CHINESE
2083,F,CHINESE
2084,M,CHINESE
2082,F,CHINESE
2167,F,MALAY
2267,F,CHINESE
2120,F,CHINESE
2049,F,CHINESE
2106,F,INDIAN
2171,F,CHINESE
2070,F,CHINESE
2170,M,CHINESE
2222,F,CHINESE
2117,M,INDIAN
2030,F,Chinese
2040,F,Chinese
2174,F,CHINESE
2035,M,CHINESE
2175,F,CHINESE
2176,F,CHINESE
2179,M,CHINESE
2071,F,CHINESE
2223,F,CHINESE
2224,M,CHINESE
2038,M,MALAY
2226,F,CHINESE
2225,F,CHINESE
2274,M,CHINESE
2034,F,CHINESE
2095,F,CHINESE
2094,F,CHINESE
2228,M,MALAY
2029,M,CHINESE
2230,F,CHINESE
2043,F,CHINESE
2178,F,MALAY
2202,F,CHINESE
2180,M,CHINESE
2181,F,MALAY
2046,F,CHINESE
2184,F,CHINESE
2092,F,CHINESE
2227,F,MALAY
2048,M,CHINESE
2183,F,CHINESE
2109,M,MALAY
2275,M,CHINESE
2045,F,CHINESE
2047,M,CHINESE
2277,F,CHINESE
2231,F,INDIAN
2278,F,MALAY
2279,F,CHINESE
2052,F,CHINESE
2073,F,INDIAN
2280,M,CHINESE
2041,F,CHINESE
2042,M,CHINESE
2051,M,CHINESE
2059,F,MALAY
2133,M,MALAY
2060,M,CHINESE
2132,F,MALAY
2131,M,MALAY
2072,F,CHINESE
2033,M,CHINESE
2189,M,MALAY
2039,F,MALAY
2105,F,CHINESE
2130,F,MALAY
2191,F,INDIAN
2074,M,INDIAN
2058,M,CHINESE
2312,M,INDIAN
2053,F,CHINESE
2050,M,INDIAN
2097,F,CHINESE
2044,M,MALAY
2057,M,INDIAN
2056,F,INDIAN
2055,M,INDIAN
2054,M,INDIAN
2081,F,CHINESE
2204,F,CHINESE
2076,F,CHINESE
2125,F,CHINESE
2136,F,INDIAN
2080,M,CHINESE
2137,F,INDIAN
2135,F,INDIAN
2088,F,MALAY
2086,F,MALAY
2091,F,MALAY
2090,F,INDIAN
2085,F,CHINESE
2093,F,INDIAN
2110,M,INDIAN
2087,F,MALAY
2089,F,CHINESE
2098,F,MALAY
2150,M,CHINESE
2147,F,INDIAN
2148,F,INDIAN
2149,F,INDIAN
2145,M,MALAY
2138,F,CHINESE
2144,F,CHINESE
2128,F,CHINESE
2156,F,MALAY
2157,M,INDIAN
2153,M,INDIAN
2146,F,CHINESE
2127,F,CHINESE
2198,F,MALAY
2143,F,INDIAN
2142,M,MALAY
2140,M,CHINESE
2151,F,CHINESE
2200,M,CHINESE
2154,M,INDIAN
2152,F,CHINESE
2185,F,CHINESE
2186,F,INDIAN
2194,M,CHINESE
2159,M,CHINESE
2187,F,CHINESE
2196,M,CHINESE
2188,M,CHINESE
2208,M,INDIAN
2160,M,INDIAN
2192,M,CHINESE
2199,M,CHINESE
2201,M,OTHERS
2206,M,MALAY
2037,M,MALAY
2096,M,CHINESE
2172,F,CHINESE
2195,M,CHINESE
2197,M,MALAY
2233,M,CHINESE
2271,M,CHINESE
2257,F,CHINESE
2251,F,INDIAN
2284,M,CHINESE
2254,F,CHINESE
2250,F,INDIAN
2238,M,CHINESE
2253,M,CHINESE
2209,M,CHINESE
2252,F,CHINESE
2259,M,CHINESE
2239,F,CHINESE
2241,M,CHINESE
2240,F,CHINESE
2237,F,CHINESE
2258,F,CHINESE
2255,M,INDIAN
2282,F,MALAY
2260,F,MALAY
2285,F,CHINESE
2287,F,CHINESE
2288,F,INDIAN
2289,F,CHINESE
2292,F,CHINESE
2286,M,INDIAN
2236,M,CHINESE
2290,F,CHINESE
2291,F,INDIAN
2008,M,CHINESE
2009,M,CHINESE
2007,M,CHINESE
2012,M,CHINESE
2018,M,CHINESE
2111,M,CHINESE
2013,M,MALAY
2006,M,CHINESE
2010,F,CHINESE
2112,F,CHINESE
2014,M,CHINESE
2115,F,CHINESE
2015,M,CHINESE
2261,F,CHINESE
2116,M,CHINESE
2161,F,CHINESE
2211,M,MALAY
2262,F,MALAY
2264,F,CHINESE
2212,M,CHINESE
2162,F,CHINESE
2163,M,CHINESE
2213,F,CHINESE
2265,F,CHINESE
2164,M,CHINESE
2021,F,CHINESE
2063,M,CHINESE
2214,F,CHINESE
2165,F,CHINESE
2215,M,CHINESE
2166,F,CHINESE
2217,M,MALAY
2218,F,CHINESE
2027,F,CHINESE
2067,F,CHINESE
2065,F,INDIAN
2026,F,CHINESE
2068,M,CHINESE
2173,F,CHINESE
2216,M,CHINESE
2650,F,INDIAN
